AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,eyeDetection
0.6999065474754083,0.08100057410031254,1.132432761473383,1.2643199738871873,0.568406932260063,-1.6924082008549048,1.066011698771743,1.368261111013205,1.097237820609754,0.2627292670209439,0.3241884188500777,0.005761662308116663,0.8381862600194177,0.7754292398222045,0
0.5768726063586278,-0.07740682610603622,1.3426682358608035,1.2882358775403941,0.09909013111130298,-1.6659177377115706,1.0892160944472558,1.257642063411563,0.49041769921202444,-0.3162415756962811,0.18619565644156078,-0.04351466401999331,0.7507116486659828,0.5237291876961404,0
0.6588062721348766,-0.006965357467633877,1.4122916721838867,1.6488501894875955,-0.19416141455169086,-1.8228227886373387,1.066011698771743,0.7899275466103278,0.3247256802487658,-0.543115646379362,0.14698879915559523,0.0801592530387589,0.6342681725136962,0.6561621381993719,0
0.6862954173301854,0.16896650566825894,1.4591623515386385,1.6249342858343887,0.18712275885418608,-1.8752942829404247,1.0892160944472558,0.8173138156767722,0.8492377532654323,0.11147988656555659,0.30458499020711244,0.3526283515587516,0.7362272162665698,0.8415166381240092,0
0.617705996794345,0.16896650566825894,1.2725897443983438,1.4082843350936711,0.4214953392085894,-1.6659177377115706,1.0204953841774271,0.6519222299421925,0.49041769921202444,0.539692418244468,0.3833830857328361,0.37774961596132783,0.7507116486659828,0.8944381875453915,0
0.48106092553231733,-0.07740682610603622,0.8989894749783366,1.504416888993784,0.30430904903141376,-1.6399367065517725,0.905812120934877,0.0735886655393153,0.048751635676962835,-0.014233884202580163,0.2649937519673194,0.03088292671064893,0.6197837401142572,0.6693279870798178,0
0.4399606501917857,-0.20076530045326557,0.7356246799457088,1.432200238746878,0.18712275885418608,-1.7703512943342525,0.7456125430980111,0.018816127406426433,0.5732637086936293,-0.3162415756962811,-0.06980205877868031,-0.5145383715679017,0.5323091287608225,0.37813038831243945,0
0.6040948666491222,-0.006965357467633877,0.6423383763755408,1.023754119493263,0.21627642128853064,-1.8488038197971366,0.6313755182338464,-0.03649339639439459,0.2144436546401725,-0.13994765497067224,-0.2669894880699556,-0.6628504517906649,0.4448345174073877,0.4310519377338217,0
0.617705996794345,0.13391757980915517,0.5490520728053728,0.8554049153462443,0.2751553865970692,-1.7968417574775406,0.8143332533678803,-0.39412585126191985,-0.7511965208110627,-0.16548326465796748,-0.030595201492679806,-0.31598376253998606,0.5905308668369788,0.6693279870798178,0
0.617705996794345,0.15144204273871487,0.572259884913081,0.9754533728995639,0.21627642128853064,-1.8752942829404247,0.8830539636377293,-0.3667395821954754,-0.392376466757606,-0.2155723451983659,0.3833830857328361,-0.11791225475063553,0.881923565696135,0.7620052370421364,0
